COL_NAME,DESCRIPTION,Type,
PERSON_ID,"A unique identifier for each person record. IDs starting with P indicate passengers. IDs starting with O indicate a person who was not a passenger in the vehicle (e.g., driver, pedestrian, cyclist, etc.).",Plain Text,
PERSON_TYPE,Type of roadway user involved in crash,Plain Text,
CRASH_RECORD_ID,This number can be used to link to the same crash in the Crashes and Vehicles datasets. This number also serves as a unique ID in the Crashes dataset.,Plain Text,
RD_NO,"Chicago Police Department report number. For privacy reasons, this column is blank for recent crashes.",Plain Text,
VEHICLE_ID,The corresponding CRASH_UNIT_ID from the Vehicles dataset.,Plain Text,
CRASH_DATE,Date and time of crash as entered by the reporting officer,Date & Time,
SEAT_NO,"Code for seating position of motor vehicle occupant: 1= driver, 2= center front, 3 = front passenger, 4 = second row left, 5 = second row center, 6 = second row right, 7 = enclosed passengers, 8 = exposed passengers, 9= unknown position, 10 = third row left, 11 = third row center, 12 = third row right",Plain Text,
CITY,City of residence of person involved in crash,Plain Text,
STATE,State of residence of person involved in crash,Plain Text,
ZIPCODE,ZIP Code of residence of person involved in crash,Plain Text,
SEX,"Gender of person involved in crash, as determined by reporting officer",Plain Text,
AGE,Age of person involved in crash,Number,
DRIVERS_LICENSE_STATE,State issuing driver's license of person involved in crash,Plain Text,
DRIVERS_LICENSE_CLASS,Class of driver's license of person involved in crash,Plain Text,
SAFETY_EQUIPMENT,"Safety equipment used by vehicle occupant in crash, if any",Plain Text,
AIRBAG_DEPLOYED,Whether vehicle occupant airbag deployed as result of crash,Plain Text,
EJECTION,Whether vehicle occupant was ejected or extricated from the vehicle as a result of crash,Plain Text,
INJURY_CLASSIFICATION,Severity of injury person sustained in the crash,Plain Text,
HOSPITAL,Hospital to which person injured in the crash was taken,Plain Text,
EMS_AGENCY,EMS agency who transported person injured in crash to the hospital,Plain Text,
EMS_RUN_NO,EMS agency run number,Plain Text,
DRIVER_ACTION,"Driver action that contributed to the crash, as determined by reporting officer",Plain Text,
DRIVER_VISION,"What, if any, objects obscured the driver’s vision at time of crash",Plain Text,
PHYSICAL_CONDITION,"Driver’s apparent physical condition at time of crash, as observed by the reporting officer",Plain Text,
PEDPEDAL_ACTION,Action of pedestrian or cyclist at the time of crash,Plain Text,
PEDPEDAL_VISIBILITY,Visibility of pedestrian of cyclist safety equipment in use at time of crash,Plain Text,
PEDPEDAL_LOCATION,Location of pedestrian or cyclist at the time of crash,Plain Text,
BAC_RESULT,Status of blood alcohol concentration testing for driver or other person involved in crash,Plain Text,
BAC_RESULT VALUE,Driver’s blood alcohol concentration test result (fatal crashes may include pedestrian or cyclist results),Number,
CELL_PHONE_USE,"Whether person was/was not using cellphone at the time of the crash, as determined by the reporting officer",Plain Text,
